USERID,LTV
5250005,95211.98
817703,95124.03
5269538,94863.29
5137264,94808.93
8305541,94746.56
6827184,94606.61
266979,94603.91
5085378,94547.02
26548672,94519.5
5880070,94495
4129388,94337.42
6789985,94281.32
1755824,94159.51
1381855,93987.88
3958404,93957.17
14711545,93841.69
4138580,93690.33
8645732,93681.64
6167011,93461.99
8260108,93406.58
4204265,93371.36
1649756,93320.51
7273238,93039.29
19040380,93018.56
8009592,93014.69
5222700,92913.6
7039434,92882.69
5315704,92655.26
6188324,92475.67
6898335,92221.92
20894193,92190.65
3832788,92189.52
8936619,92183.92
15320779,91313.43
16367836,91298.37
22081390,91058.77
10889177,91013.76
4687402,90794.46
6847137,90606.07
12541798,90538.12
1827302,90531.56
3668367,90436.3
4855036,90304.13
6495446,89949.96
1214594,89798.19
4368210,89797.12
23856743,89786.6
624218,89738.89
4501305,89416.77
4723487,89254.01
33542546,89237.84
14041540,89176.39
11809918,88738.56
17909066,88721.03
8983027,88674.86
2975441,88667.77
8119881,88645.29
15197619,88580.13
7990330,88485.04
1444098,88420.29
20097818,88344.44
12490158,88265.21
20364726,88173.78
4760508,88139.69
1548192,88098.94
17745013,88067
5433485,88048.95
3483939,87703.93
7694790,87474.54
6711114,87391.83
6319310,87261.13
5039450,87183.08
12477651,86758.52
3921824,86714.35
30374,86364.4
13825074,86290.31
6270803,86190.54
15462273,86143.43
8549031,86056.02
4091150,86024.79
14326120,85958.04
25370396,85818.8
4193085,85729.67
1414373,85659.88
13777924,85297.85
6596659,84892.02
8592732,84844.43
1637175,84764.55
438672,84694.28
15814985,84621.48
11156704,84546.42
16844514,84370.11
20930389,84363.2
5356979,84326.74
7249760,84252.79
6879086,84174.85
13538009,84162.52
3273436,84042
5509287,83793.89
1343378,83783.93
1352427,83757.79
21486311,83755.56
5380718,83648.31
21707638,83385.56
5338007,83375.54
14283707,83347.67
3250892,83345.27
1608408,83266.88
12222301,83246.69
4832716,83231.75
11247062,83116.68
3292928,83093.63
23150279,82950.02
4319165,82936.94
1895949,82902.72
5912541,82748.69
3576716,82728.95
4981037,82548.52
6677172,82472.33
14702893,82392.66
5349560,81992.03
3915357,81864.49
8648069,81737.77
1742368,81494.66
17759388,81486
12145369,81372.34
6254266,81331.96
832245,81185.79
6535230,81137.72
9895190,81113.53
5844525,81044.98
315078,80965.93
22324888,80802.94
8313930,80754
4952255,80748.82
23565471,80694.48
6188609,80646.53
24164681,80553.22
3217129,80391.29
5573530,80342.22
22449731,80332.08
20484095,80304.58
5119155,80241.84
7837900,80134.72
6488492,79905.08
5766618,79797.35
14258720,79787.62
5939266,79786.27
1485357,79759.96
6085139,79656.51
5597592,79558
4675351,79527.99
14705219,79507.12
18721518,79476.89
6740727,79451.5
11516289,79344.32
6122929,79181.6
14444057,79123.37
15569956,78938.48
3456352,78617
6650276,78569.99
20896828,78527.84
16867579,78289.67
1114092,78192.94
6774615,78176.7
5838912,78159.6
191102,77915.7
2382875,77888.86
7249719,77669.77
19515987,77398.42
488905,77317.23
4381649,77317.07
628333,77242.11
3563486,77159.08
4303816,77088.07
9503851,77076.93
9227631,77026.68
20729036,76994.88
4296347,76993.83
13792065,76982.93
20260768,76978.14
5561999,76936.04
19294676,76838.11
26164610,76830.46
3121688,76747.7
3480046,76566.61
7869315,76432.5
4418754,76322.18
11191276,76016.4
3609927,75957.69
8012729,75771.33
10633639,75666.58
21156207,75662.88
6745144,75633.78
8594400,75576.9
950659,75421.29
15708942,75358.36
20698613,75311.42
4613278,75250.73
109801,75216.56
15158921,75206.91
12567223,75123.1
547070,75110.78
16240960,75098.75
5306318,74943.35
1963642,74727.38
6766414,74680.81
1916445,74472.72
5196589,74381.97
8963967,74381.45
10532262,74337.29
12006554,74326.85
8438583,74284.81
14405307,74246.08
17936119,74239.65
9169071,73989.04
6281810,73954.39
21315542,73792.66
17547094,73462.42
17868963,73409.7
5792421,73408.08
5933548,73375.63
19292476,73361.13
6060675,73303.96
8757555,73251.62
1417483,72933.71
4292778,72860.98
25709608,72764.05
26089738,72642.47
4403424,72612.31
13647092,72603.72
16243350,72568.42
20328760,72554.81
4714962,72546.81
3443837,72470.36
4886771,72401.98
15194936,72173.66
7872428,72137.14
6249310,72090.53
9044916,72081.28
9619685,72038.42
6396030,72017.52
20886818,71977.91
9075627,71811.15
21523442,71741.4
19196802,71690.92
12105936,71670.61
3490422,71396.86
14737305,71352.52
5032016,71334.37
1571904,71234.91
14454024,71170.86
3752480,71089.45
14327482,71082.16
8779786,70751.45
17649567,70729.79
1612459,70709.44
7755593,70691.15
1012305,70654.04
13261085,70491.44
5741716,70486.5
1806774,70470.02
3260487,70455.77
16983962,70439.29
8757054,70418.66
2433024,70406.26
12518032,70397.02
4816407,70374.94
20299392,70337.02
1399701,70245.38
2931234,70171.53
9377609,70108.81
20402973,70042.39
8560906,70026.72
7059897,69999.53
6183609,69935.25
581043,69853.39
71502,69821
14849104,69732.63
2205342,69698.57
13777198,69684.86
5944428,69621.52
5465812,69596.14
2228404,69569.16
27224327,69555.32
14822469,69550.28
15036724,69536.38
3245550,69511.59
4139871,69467.07
19025486,69331.1
4747319,69302
2338605,69203.79
19963909,69202.83
2153900,69141.29
7466606,69094.1
5456926,69084.95
25713048,69020.18
13167480,69010.42
22179725,68945.72
5529543,68926.7
3815493,68881.76
6963966,68777.11
2087120,68559.86
14014542,68498.8
9109408,68443.36
4143380,68379.31
6028339,68324.29
5915592,68252.48
16118365,68161.34
5461113,68044.38
4782960,67990.1
4826496,67870.86
5396574,67675.01
5730637,67668.72
7214244,67606.13
22976958,67572.2
5123580,67426.13
9584992,67307.74
4382763,67050.8
8732125,67048.68
2315614,67009.94
1541671,66966.08
1447698,66907.99
22530041,66896.02
19442939,66856.72
4847098,66786.8
6533517,66779.36
12759075,66689.62
5184446,66684.11
16198742,66568.2
6215365,66526.39
4426550,66432.22
2533623,66392.82
6224705,66146.52
3930487,66146.39
9096193,66137.46
13281705,66105.89
11663031,66085.99
1929601,65974.09
9002945,65913.81
10575845,65876.48
6020147,65867.96
26665716,65821.95
8059994,65798.67
7500799,65573.1
20670901,65526.15
3863114,65460.21
5656989,65292.67
23605643,65239.91
33736906,65196.52
11560958,65176.26
8595282,65122.73
7233907,65121.02
23100683,65104.57
23943046,65000
20666063,64953.89
4964415,64938.69
8746569,64834.37
5402907,64755.27
14076867,64648.74
14841074,64637.7
4271951,64568.75
16126204,64551.12
22755310,64409.73
5104206,64391.24
5483598,64327.63
2142159,64309.1
14246918,64293.37
12860660,64287.51
20318086,64249.93
885897,64240.88
19023595,64222.93
12131653,64105.67
8898859,64101.09
20523835,64041.42
9281692,63977.92
4669046,63971.89
5017228,63971.57
5377323,63967.63
22685456,63955.86
7134495,63927.85
15537499,63921.6
232567,63744.78
4111977,63734.45
19553735,63617.77
4922852,63612.97
18186532,63612.57
21904757,63534.08
8660197,63496.2
17302764,63404.21
9619665,63399.98
20258556,63345.37
2316758,63325.49
8847105,63270.9
8169522,63163.03
22743747,63154.65
5874890,63139.51
6494548,63122.59
8407106,63008.45
6149698,63006.99
4146401,62976.34
5672946,62965.38
2308879,62933.9
3613577,62786.47
6999624,62766.75
1449534,62759.83
12145952,62701.82
3276520,62591.06
5701810,62581.35
9096140,62526.29
18388511,62455.99
15747867,62423.96
1643664,62418.8
13486628,62304.68
9645529,62268.38
7072654,62192.19
15959716,62139.34
934531,62122.41
5151002,61942.37
5644918,61885.24
4493005,61864.36
22180399,61842.57
13302129,61789.28
21512876,61705.79
10184129,61583.8
12324575,61530.15
15720336,61509.39
4850648,61479.09
15203850,61362.42
7496042,61319.29
4673296,61308.17
3570434,61188.7
7012602,61185.32
14597518,61181.63
15139031,61089.77
15927572,61002.08
6839511,60971.7
5674719,60917.04
4003492,60904.32
26411333,60850.63
3248847,60828.92
19913854,60823.37
3051906,60640.8
7175662,60639.2
6291681,60569.46
13356307,60557.01
1163371,60537.63
15734366,60525.94
14384524,60509.44
24823972,60475.34
11920110,60472
5330147,60400.68
16782037,60369.03
5878970,60193.72
14604763,60184.12
17099423,60174.38
12531403,60162.89
2413831,60109.25
25318194,60107.59
1550845,60038.33
3618891,60017.85
24318755,59972.28
21385103,59943.37
6310336,59941.01
20621219,59922.43
10259514,59879.02
22007026,59760.93
14131978,59678.8
1250959,59587.72
7605689,59533.55
7511289,59514.92
8730650,59505.09
4445259,59452.57
20740416,59420.51
5569236,59401.57
8415990,59315.83
312388,59300.31
15786054,59287.04
18113960,59217.6
7434585,59206.94
6236616,59203.55
4254767,59140.21
6697865,59139.38
1386692,59135.32
7579013,59126.1
12816711,59055.26
7586503,59054.99
73618,59028.78
1640018,59005.34
3116357,58995.09
18183996,58973.32
5631967,58936.64
3458722,58883.41
13791532,58857.82
20000063,58843.66
18731854,58842.42
22526657,58817.5
13287597,58809.63
12203220,58794.88
21522175,58615.01
5235515,58539.31
5192499,58532
6477579,58499.69
16887460,58380.48
3280785,58361.39
17224047,58314.63
3486863,58291.51
6777241,58268.64
16377897,58222.58
1949185,58180.77
3232882,58161.81
9350374,58116.86
12499806,58038.3
4269390,58004.12
5681151,57990.49
428629,57915.38
2112618,57893.48
4661967,57848.32
16749160,57760.99
446887,57710.53
20328580,57614.31
3744382,57545.69
13544670,57493.01
21123232,57468.28
4358486,57387.83
85531,57358.1
8207418,57307.77
8592946,57259.3
23123557,57228.72
23431401,57147.66
18888343,57054.81
3887484,56989.03
4497767,56971.89
19932986,56884.82
20040076,56816.89
4923329,56802.36
9532280,56755.54
6062713,56624.01
8405582,56577.83
535747,56490.45
5379630,56489.93
3857514,56362.16
16809274,56326.28
179005,56325.52
24609839,56322.96
6785043,56313.15
18656105,56276.64
4959640,56231.28
3062742,56230.31
5107613,56215.5
4343754,56212
608371,56187.74
3542199,56176.67
7284783,55974.35
4472484,55947.08
4737638,55946.87
20696274,55942.7
17544782,55921.93
3714611,55904.69
3056801,55879.01
4231000,55821.32
8175330,55712.07
6309466,55668.44
11692899,55660.62
15804877,55565.77
21179998,55442.53
4275663,55350.34
14874411,55329.69
835518,55325.55
275491,55258.03
4377418,55231.34
20388188,55166.58
2582157,55136.29
4713147,55120.47
19919665,55120.27
24382740,55102.7
2239353,55096.07
16761349,54961.97
3596934,54933.25
19403253,54913.5
18290183,54862.11
3089675,54794.96
1479700,54776.32
12930725,54733.53
4996637,54693.05
1718515,54615.86
4019448,54549
17979207,54538.74
21328849,54519.76
4782592,54445.11
6544863,54438.71
14092821,54425.5
3222426,54417.45
13521342,54179.88
25368114,54094.64
29009057,54080.6
19281417,54078.97
9285272,54063.04
2209400,54013.49
8974224,53972.1
13626935,53939.28
3395247,53936.85
8957936,53871.34
14848646,53824.67
5745360,53763.37
7811474,53678.5
6854919,53668.37
4230025,53631
13538179,53578.47
12744171,53562.33
6834177,53548.14
19782921,53540.15
3672981,53506.96
6612142,53494.56
25029405,53481.9
6544762,53416.49
20263578,53387.1
24443980,53379.44
2401043,53340.5
4781033,53286.05
7159702,53243.89
4891773,53235.64
8303916,53233.24
8775430,53229.1
4667,53153.24
16239595,53063.93
16561107,53062.23
6800452,53059.45
2858488,52962.99
8918645,52950.58
10964290,52947.77
10502631,52920.83
13242820,52838.34
25630061,52792.05
459644,52780.86
5325929,52751.94
7605524,52656.97
6458178,52620.58
5269112,52611.13
16071522,52524.33
3160979,52518.13
4127045,52509.22
19354346,52496.18
7620591,52448.98
9450554,52442.24
779789,52432.87
1841381,52419.29
2209472,52385.62
5151564,52365.31
3637227,52323.29
4690465,52265.34
9389554,52258.63
14602697,52257.87
4673761,52244.66
4346929,52222.21
11167519,52201.24
5351835,52176.35
15312940,52109.55
6304757,52070.16
2581251,51985.03
8557758,51972.23
4928346,51912.67
7882489,51889.8
23155521,51880.73
22704841,51869.73
2707655,51840.73
5946830,51838.73
4947985,51781.36
12536741,51744.71
8584832,51740.47
2770046,51712.67
3390734,51710.45
5679789,51675.83
9584669,51647.89
4967614,51595.4
7116446,51552.09
4222214,51518.73
3694668,51498.27
4729617,51455.09
2337694,51431.99
5512257,51385.43
10594178,51356.91
4182278,51316.59
699285,51301.65
3843322,51275.6
23694151,51255.86
20820418,51236
15176880,51235.59
19576928,51170.81
19961268,51160.37
6496465,51124.36
3284415,51023.09
12513801,50946.2
18998639,50922.79
1056035,50829.91
8111183,50799.63
8886438,50769.62
7508175,50741.71
13266438,50738.21
13189762,50726.97
13577458,50710.92
5539696,50710.39
3408807,50704.42
23498932,50690.71
3296265,50666.12
7887911,50652.89
10605710,50562.03
2106350,50548.87
4529580,50470.32
13812731,50387.71
19127160,50348.93
14221979,50300.06
19119239,50249.96
8897578,50240.11
2358329,50202.1
6369111,50172.53
2996118,50114.26
5207646,50104
3050916,50005.66
19683445,49899.35
6496183,49886.36
14313992,49875.56
11340920,49872.73
2823412,49841.99
2263471,49835.99
6270364,49821.6
3370051,49759.18
11314153,49690.38
9669166,49676.08
5752561,49556.43
14766107,49536
5005944,49535.61
4585644,49525.52
6214731,49518.9
7839081,49494.29
16441248,49485.71
2885522,49468.38
5362195,49456.08
19063620,49406.07
6417868,49347.49
9479957,49281.77
5910463,49275.73
660091,49200.95
4980807,49191.59
9029017,49177.88
14847437,49168
3781072,49154.31
5871409,49120.01
5070382,49082.35
4977769,49044.47
3399345,49036.98
19368421,48921.66
12643411,48894.73
232590,48893.82
15359047,48866.14
8335989,48857.57
4963450,48850.84
20421592,48835.93
6110231,48834.23
9185546,48808.16
4275775,48802.07
1654873,48795.22
7860286,48772.02
13321308,48753.33
2494978,48727.73
11917594,48727.1
14724867,48707.98
9210377,48679.9
28569023,48675.35
6223530,48640.49
4981354,48618.01
32071385,48608
4617091,48568.6
1418035,48537.48
4981435,48495.65
1353291,48398.24
2225022,48334.07
2311755,48211.9
10360606,48177.4
15221154,48170.68
2622042,48047.32
3875913,48008.75
12028150,47885.27
5263338,47873.37
17084093,47866.6
15243444,47794.29
17808732,47784.91
14373162,47772.94
14768731,47749.15
4494941,47736.93
17909051,47599.94
1123704,47561.78
7955087,47552.48
9165249,47551.15
5667462,47543.34
13969069,47499.82
1629432,47493.17
8305659,47488.97
23064775,47433.15
13568361,47433.06
441760,47409.32
17269393,47405.12
22150988,47371.92
8604329,47279.18
1280111,47245.22
3093494,47234.27
5869409,47232.25
5602671,47212.63
16367863,47165.94
11478934,47157.59
5891449,47132.49
6995197,47104.54
5729509,47101.31
4327069,47080.88
2213512,47076.16
1126355,47033.77
6697543,47025.31
3930790,47017.23
17033295,46904.77
5107358,46865.99
18770979,46838.73
15221795,46796.53
19919181,46744.76
29900639,46664.32
1342775,46654.65
14222229,46643.83
4707480,46624.41
5537274,46622
3646044,46595.59
5341459,46589.24
22536949,46572.4
3387515,46546.42
210794,46478.06
9519958,46468.74
9538224,46413.1
3555990,46375.2
21844599,46304.52
9448659,46110.87
6406905,46093.45
20479391,46078.53
13574478,46072.5
7073506,46054.74
10649666,45897.38
7948001,45884.02
4270502,45848.25
1867215,45846.14
20390160,45845.65
13572231,45831.21
1969533,45820.06
4518396,45818.63
6220105,45755.79
5442147,45682.44
23121515,45675
31844455,45667.62
14711926,45667.45
6305480,45660.91
2958948,45606.82
6261283,45517.44
441575,45516.28
18781570,45507.66
5940766,45501.99
14159400,45429.57
12393093,45394.94
1318851,45369.94
8726973,45347.01
16692904,45344.87
3034083,45339.78
4753289,45337.74
9208531,45337.29
12513587,45324.36
8192646,45319.31
8388707,45306.78
4094424,45299.14
18787981,45299.13
19011038,45282.52
6420398,45268.48
11357156,45255.85
23092423,45252.64
5451082,45252.01
169683,45249.83
11651170,45202.61
13168290,45201.85
32729373,45201.3
18889320,45169.99
15466382,45099.21
22893607,45085.58
13737443,45048.37
6895109,45044.94
3723624,45039.05
5761391,45027.79
20234520,44938.79
1834388,44929.54
14806463,44909.76
6654740,44882.72
2123580,44875.9
24754294,44863.91
4214415,44828.49
5003069,44794.2
5529019,44730.56
5452815,44704.84
16466975,44670.56
9705813,44664.93
8772305,44620.03
15215225,44585.62
5052881,44559.28
30004449,44558.13
5196352,44550.99
5752009,44544.78
22187109,44502.68
16678895,44486.4
18088577,44457.11
5654221,44450.87
6238856,44430.42
3980331,44414.93
6195450,44400.24
23473436,44377.9
4233558,44330.53
779985,44284.36
4997354,44275.95
14424405,44271.17
9688640,44240.6
877816,44191.38
4660974,44190.09
6029955,44182.72
25555657,44121.72
6754651,44095
25487206,44080.48
16253635,44064.98
4334421,44062.25
25279269,44038.39
7468869,44001.84
4856362,43986.46
4561836,43951.96
5224576,43940.93
5912778,43934.58
11758079,43903.06
19816425,43895.21
22662889,43867.37
7061937,43832.61
2934492,43830.59
3405688,43808.92
5418428,43800
3381402,43796.8
16362309,43767.79
23697605,43764.01
5163064,43759.68
186836,43730.75
6989000,43719.74
4254107,43714.38
5629011,43701.96
14371307,43690.6
4775823,43675.44
2317064,43669.33
8939946,43644.34
4326728,43633.5
631231,43617.86
14284061,43606.46
3346788,43591.49
8856304,43532.1
4145363,43498.83
20724979,43479.92
14606226,43437.79
19518604,43425.07
5533935,43416.8
3297008,43398.99
8548911,43390.27
5729445,43342.82
21377935,43305.62
5181520,43265.38
9131415,43260
12868436,43254.67
1200233,43244.5
4585969,43238.48
9305360,43219.37
20533561,43185.75
5053968,43174.55
24081796,43133.4
3435350,43097.34
23660324,43092.88
5274983,43069.98
21005289,43037.64
805125,43029.8
21602178,43004.16
23401013,42978.13
19940959,42966.95
18701029,42962.86
12749697,42934.1
5207963,42933.47
17531648,42924.95
13456749,42920.47
3584206,42918.83
4513709,42895.59
21482567,42879.23
177866,42810.7
7930856,42808.51
11773610,42755.26
17414482,42702
19648463,42690
1848786,42643.56
1845061,42622.84
2046537,42601.4
31888689,42492.67
2217745,42447.66
26682605,42367.13
6341393,42363.96
5284672,42280.58
20963148,42254.65
8911727,42253.11
11255043,42224.4
1444239,42204.75
11620486,42190.73
21518311,42159.7
4440991,42143.36
520687,42111.8
6474221,42091.89
2371004,42085.58
21713613,42083.55
3634029,42067.05
5422695,42051.31
16153669,42032.91
25341161,42014.08
4364615,41963.48
11639316,41955.24
8940073,41950.06
26380863,41888.92
12144758,41882.61
21600488,41854.34
8416933,41844.11
14133471,41812.17
2814761,41809.46
1532816,41796.03
18987865,41687.69
6046097,41680.93
16458547,41616.32
24465483,41596.96
13232004,41526.87
6250787,41513.29
1162550,41507.9
4160637,41492.82
30899262,41455.11
20514365,41446.11
4129165,41372.42
14963501,41370.21
239779,41354.17
4148125,41328.6
9619781,41316.31
3390800,41259.62
4846705,41237.83
2453287,41233.93
3484285,41222.31
4435405,41218.63
19979945,41212.46
509036,41209.72
337713,41098.95
17235690,41079.1
4858739,40992.26
5071031,40978.51
3438218,40951
22096986,40949.35
6608974,40945.55
8664934,40944.81
5020461,40939.32
1573589,40930.75
5794873,40887.72
7884423,40848.9
4251688,40827.25
6977901,40795.93
2373607,40750.21
8441185,40728.49
22037262,40706.36
4530861,40672.23
15038087,40666.99
21745515,40626.61
18226267,40571.04
21668220,40557.54
5644318,40549.34
132432,40514.76
6049941,40513.67
3842356,40499.08
20424644,40492.77
1079585,40466.21
5159516,40446.38
17234419,40442.88
838559,40441.57
1085834,40439.11
231364,40437.82
5255098,40402.09
7073589,40394.59
6973864,40385
134211,40375.11
6522104,40364.54
10568899,40347.41
623378,40341.49
4064408,40341.17
1378986,40302.38
5101800,40273.37
2766188,40269.3
2013324,40251.3
20726835,40242.25
16631666,40238.17
4365387,40205.97
4029649,40190.77
20900738,40186.34
8589643,40180.64
17551453,40175.32
6546652,40123.4
8394012,40099.6
14280737,40084.88
6284337,40074.78
4348688,39971.8
6111495,39952.89
22866139,39947
33578720,39944.2
4043126,39935.56
3372841,39931.68
11510107,39913.58
2665270,39898.62
20425066,39894.21
4950159,39890.02
27446520,39880.65
20421478,39875.41
13880565,39853.45
23823835,39808.97
3479175,39801.81
3501338,39787.19
20124974,39769.59
19212761,39752.72
5194883,39730.55
4242892,39719.84
24310849,39655.15
8488152,39492.72
14195342,39461.15
15301571,39452.72
5315768,39447.11
1489691,39442.49
15896201,39430.31
5237032,39408.04
19363219,39362.54
20184512,39347.38
1812719,39322.5
6556663,39279.11
18846955,39264.35
4089531,39254.43
16817063,39228.64
2643725,39218.2
4461692,39145.12
9147000,39125.05
13670285,39094.53
5184128,39027.18
8726002,38988.52
1957073,38958.53
4277369,38952.64
19618050,38943.03
17449555,38923.7
3193327,38898.9
8416019,38887.56
2041774,38846.27
4603263,38819.57
13241108,38809.78
8394087,38794.44
20406432,38788.29
13841087,38689.43
21947315,38678.04
6732063,38674.26
2362350,38673.13
4549215,38628.05
4416824,38589.65
3929093,38586.24
12415198,38579.9
3579505,38571.16
1581942,38559.67
8789671,38559.34
25066,38490.76
22002264,38459.8
2583846,38456.37
20018136,38430.98
4059263,38397.32
6105789,38393.94
3703219,38361.04
3859177,38313.13
13591843,38310.73
19320480,38310.42
14522309,38305.9
6213105,38286.93
14725868,38265.03
4161924,38235.83
13511277,38234.18
24242713,38233.87
6848380,38221.77
24367476,38206.83
6833785,38198.36
7403331,38195.12
9501463,38194.43
4790643,38189.44
5569323,38180.69
28669101,38093.69
5453767,38069.94
156847,38056.23
20156453,38009.17
3310877,37978.6
4936477,37959.26
27133460,37943.65
6137345,37914.78
4231054,37905.8
6079240,37886.03
3953008,37875.03
7594596,37869.72
3025992,37858.7
2641743,37851.25
20726304,37836.94
6628152,37830.49
19729852,37803.67
8181951,37788.96
25622384,37782.65
3376771,37770.01
20292330,37736.14
32261658,37734.08
7483298,37732.5
18255497,37692.32
20374347,37692
19162248,37663.69
20148519,37663.23
9195112,37661.19
8934036,37659.96
26295199,37652.68
15645577,37621.4
4195689,37609.8
3137736,37604.01
3851381,37593.89
18724311,37592.56
8201822,37577.23
20557956,37563.88
14739446,37553.12
9217172,37545.14
5884272,37535.35
4800753,37434.34
13147979,37423.46
6037680,37407.67
1902582,37405.53
4331788,37404.82
127111,37392.75
26603931,37349.67
5972187,37291.52
2305542,37279.7
19394744,37272.44
2605240,37263.03
5858743,37255.41
24831973,37247.11
18889954,37245.22
7990108,37242.95
15399627,37242.03
1026761,37234.08
8753952,37227.85
24879661,37210.41
1566205,37205.61
17141645,37202.54
7015202,37184.86
3062499,37154.79
24593536,37140.73
8931430,37134.97
6103473,37133.51
4656355,37116.82
15929948,37114.24
535355,37082.67
6154534,37058.7
6771239,37023.15
3919295,37011.5
4003728,36999.87
8548292,36980.87
14331721,36972.96
8977271,36966.35
5314610,36964.89
3709045,36942.16
2719951,36936.67
8985040,36936.55
7949797,36935.24
6495580,36891.91
1986445,36885.84
10661931,36855.96
26280340,36846.31
3860985,36819.59
8127769,36809.61
7762276,36784.18
14374633,36769.71
11067551,36737.74
19441276,36719.94
5091506,36715.09
6668143,36689.34
14344365,36684.95
16587714,36654.62
8927592,36645.38
18774058,36617.74
14851016,36615.8
21822390,36601.87
9127870,36579.43
21120110,36487.22
16800706,36468.97
6151889,36468.78
13627251,36467.2
9399623,36450.02
4173650,36448.33
7791393,36437.81
